id,qcm_id,texte,type,points,explication_feedback
1,1,"Quel fichier contient les routes web dans Laravel ?","unique",4,"Le fichier se trouve dans routes/web.php."
2,1,"Quelle commande Artisan permet de créer un contrôleur ?","unique",4,"La commande est make:controller."
3,1,"Quelles caractéristiques définissent le Blade templating ?","multiple",4,"Blade permet l'héritage de layout et l'utilisation de directives comme @if."
4,1,"Quel est le rôle du Service Container dans Laravel ?","unique",4,"Il gère l'injection de dépendances et le cycle de vie des objets."
5,1,"Quelles sont les méthodes HTTP standards gérées par les routes ?","multiple",4,"GET, POST, PUT, DELETE, PATCH sont les méthodes principales."
6,2,"Quelle méthode permet de sélectionner un élément par son ID ?","unique",4,"document.getElementById() est la méthode standard."
7,2,"Comment ajouter un écouteur d'événement en JS ?","unique",4,"La méthode addEventListener() est recommandée."
8,2,"Quels événements sont liés à la souris ?","multiple",4,"click, dblclick, mouseover, mouseout sont des exemples."
9,2,"Comment modifier le contenu texte d'un élément ?","unique",4,"L'attribut textContent ou innerText est utilisé."
10,2,"Quelles propriétés permettent de manipuler les classes CSS ?","multiple",4,"classList.add(), classList.remove() et classList.toggle()."
11,3,"Quelle clause permet de filtrer les résultats d'un SELECT ?","unique",4,"La clause WHERE définit les conditions de filtrage."
12,3,"Quel type de jointure retourne les lignes correspondantes dans les deux tables ?","unique",4,"INNER JOIN est le type de jointure par défaut."
13,3,"Quelles fonctions d'agrégation sont valides en SQL ?","multiple",4,"COUNT, SUM, AVG, MIN, MAX sont des fonctions d'agrégation."
14,3,"Comment trier les résultats par ordre décroissant ?","unique",4,"La clause ORDER BY avec le mot-clé DESC."
15,3,"Quelles sont les caractéristiques d'une clé primaire ?","multiple",4,"Elle doit être unique et ne peut pas être nulle."
